name_of_site,url,org_code
بنیاد مسکن انقلاب اسلامی,https://svs.bonyadmaskan.ir/sso,بنیاد مسکن انقلاب اسلامی
سامد ریاست جمهوری,https://portal.111.ir/portal/login-by-my-gov,ریاست جمهوری (سامد)
شهرداری شیراز,https://sarv.shiraz.ir/auth/sso/my-gov-ir,شهرداری شیراز
شهرداری اهواز حقوقی,https://app.ahvaz.ir/login/gov/legal,شهرداری اهواز
شهرداری اهواز حقیقی,https://app.ahvaz.ir/login/gov/individual,شهرداری اهواز
شهرداری بندرعباس,http://my.bandarabbas.ir/ssomeli,شهرداری بندرعباس
شهرداری خاکعلی,https://www.khakaliman.ir/,شهرداری خاکعلی
شهرداری خمین,https://my.khomein.ir/,شهرداری خمین
شهرداری خوانسار,https://sso.khansar.ir/execute/login/ssogov,شهرداری خوانسار
شهرداری رودهن,https://137.rudehen.ir,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری سبزوار,https://sabzevar.ir/,شهرداری سبزوار
شهرداری شهرکرد حقوقی,https://login.shahrekord.ir/external-idp/my-gov-sso-legal/oidc-redirect,شهرداری شهرکرد
شهرداری شهرکرد حقیقی,https://login.shahrekord.ir//external-idp/my-gov-sso/oidc-redirect,شهرداری شهرکرد
شهرداری شیراز,https://eshahr.shiraz.ir/ugp/site,شهرداری شیراز
شهرداری قائم‌شهر,https://my.ghaemshahr.ir/,شهرداری قائم‌شهر
شهرداری گرگان,https://sara10.gorgan.ir/citizen/,شهرداری گرگان
شهرداری ملارد,https://my.malard.ir,شهرداری ملارد
شهرداری میانه,https://em.miyaneh.ir/SSORedirecturl.aspx,شهرداری میانه
شهرداری نجف آباد,https://sso.najafabad.ir//account/keshvarsso,شهرداری نجف‌آباد
شهرداری نسیم شهر,https://my.nasimshahr.ir/,شهرداری نسیم‌شهر
شهرداری نیشابور,https://auth.neyshabur.ir/login_back,شهرداری نیشابور
شهرداری نیم‌ور,http://my.shahrdarinimvar.ir/,شهرداری نیم‌ور
شهرداری ورامین,http://portal.evaramin.ir:3344/enrolingRequest,شهرداری ورامین
شهرداری احمدآباد یزد,http://e.ahmadabad.ir:81/SSORedirecturl.aspx,شهرداری احمدآباد یزد
شهرداری رشت,https://esup.rasht.ir/Api_Security/v2/auth/login-by-sso-keshvar,شهرداری رشت
شهرداری سنندج,http://eshahr.sanandaj.ir/,شهرداری سنندج
شهرداری زنجان,https://esup.zanjan.ir/citizen/,شهرداری زنجان
شهرداری قزوین,https://account.qazvin.ir/sso/ssokeshvar_moi/login,شهرداری قزوین
شهرداری کاشان,https://my.kashan.ir,شهرداری کاشان
شهرداری گرگان,https://sara10.gorgan.ir/Api_Security/v2/auth/login-by-sso-keshvar,شهرداری گرگان
شهرداری کهک,https://shahnood.kahak.ir/,شهرداری کهک
وزارت تعاون کار و رفاه اجتماعی حقوقی,http://karyabi-mojavvez.mcls.gov.ir/HomePage_legal.aspx,وزارت تعاون، کار و رفاه اجتماعی
وزارت تعاون کار و رفاه اجتماعی حقیقی,http://karyabi-mojavvez.mcls.gov.ir/HomePage.aspx,وزارت تعاون، کار و رفاه اجتماعی
سازمان حمایت مصرف کنندگان و تولیدکنندگان,https://safa.cppo.ir,سازمان حمایت مصرف‌کنندگان و تولیدکنندگان
سازمان نقشه برداری کشور حقوقی,https://geo.epishkhan.ir/redirect-check-login-legal,سازمان نقشه‌برداری کشور
سازمان نقشه برداری کشور حقیقی,https://geo.epishkhan.ir/redirect-check-login-true-person,سازمان نقشه‌برداری کشور
وزارت صنعت معدن و تجارت حقوقی,https://cadastre.mimt.gov.ir/SsoLogin_Legal.aspx,وزارت صنعت، معدن و تجارت
وزارت صنعت معدن و تجارت حقیقی,https://cadastre.mimt.gov.ir/SsoLogin_Real.aspx,وزارت صنعت، معدن و تجارت
سامانه پیام ایران (شرکت ملی پست),https://inbox.iran.gov.ir/MyIranLogin,شرکت ارتباطات زیرساخت (کارپوشه ملی)
سامانه پیام ایران حقوقی,https://inbox.iran.gov.ir/MyIranLegalLogin,شرکت ارتباطات زیرساخت (کارپوشه ملی)
کانون پرورش فکری کودکان و نوجوانان,https://sso.kpf.ir/auth/real,کانون پرورش فکری کودکان و نوجوانان
کانون پرورش فکری کودکان و نوجوانان حقوقی,https://kpf.ir/legaluser,کانون پرورش فکری کودکان و نوجوانان
شهرداری آبادان,http://137.abadan.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
سازمان اسناد و کتابخانه ملی ایران,https://chat.nlai.ir/,سازمان اسناد و کتابخانه ملی ایران
مرکز ملی تحقیقات حلال ایران,https://halal.gov.ir/sso,مرکز ملی تحقیقات حلال ایران
کارت هوشمند سوخت (شرکت پخش فرآورده‌های نفتی),https://fcs.niopdc.ir/Account/SSO,شرکت ملی پخش فرآورده‌های نفتی ایران
مرکز تحقیقات حلال ایران,https://jhhhm.halal.ac.ir/contacts,مرکز ملی تحقیقات حلال ایران
سامانه انتشار و دسترسی آزاد به اطلاعات حقوقی,https://iranfoia.ir/sso-gov-legal,دفتر هیئت دولت (دسترسی آزاد به اطلاعات)
وزارت علوم تحقیقات و فناوری,https://codesehat.ir/user/oauth,وزارت علوم، تحقیقات و فناوری
سازمان اسناد و کتابخانه ملی ایران,https://dl.nlai.ir/UI/SSO/RegisterExternalLogin.aspx,سازمان اسناد و کتابخانه ملی ایران
شهرداری آبادان,http://1888.abadan.ir,شهرداری (نظارت و بازرسی شهری - وزارت کشور)
شهرداری ملارد,https://1888.malard.ir/,شهرداری (نظارت و بازرسی شهری - وزارت کشور)
استانداری یزد,https://nemad.ostanyazd.ir/auth/signin-moi,شهرداری یزد
مرکز توسعه تجارت الکترونیکی (نماد اعتماد) حقوقی,https://reg.enamad.ir/panel/IndexLegalFromGOV,مرکز توسعه تجارت الکترونیکی (نماد اعتماد)
مرکز توسعه تجارت الکترونیکی (نماد اعتماد) حقیقی,https://reg.enamad.ir/panel/IndexFromGOV,مرکز توسعه تجارت الکترونیکی (نماد اعتماد)
سازمان انتقال خون ایران,https://nobatdehi.ibto.ir/api/ssologin,سازمان انتقال خون ایران
انستیتو پاستور ایران,https://fa.pasteur.ac.ir/ssoinmygov,انستیتو پاستور ایران
کمیته امداد امام خمینی,https://esfand9th.ir/sso/simple,کمیته امداد امام خمینی (ره)
کمیته امداد امام خمینی حقوقی,https://esfand9th.ir/sso/legal,کمیته امداد امام خمینی (ره)
شهرداری یزد,https://my.yazd.ir/,شهرداری یزد
جهاد دانشگاهی,https://roytab.ir/Login/redirecturl,جهاد دانشگاهی
سازمان انرژی اتمی ایران,https://nrpdsys.nrpd.ir/ords/rpsapi/gov/sso/redirecturl,سازمان انرژی اتمی ایران
شهرداری دزفول,https://137.dezful.ir/Login.aspx,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری پاکدشت,https://pakdasht.137service.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
شهرداری ملارد,https://137.malard.ir/,شهرداری‌ها (سامانه ۱۳۷ - وزارت کشور)
سازمان راهداری و حمل و نقل جاده‌ای,https://nnhk.ir/auth/sso/gov/real,سازمان راهداری و حمل و نقل جاده‌ای
وزارت کشور (سامانه امید),https://omid.gov.ir/,وزارت کشور
وزارت دادگستری,http://diye.moj.gov.ir/sso,وزارت دادگستری
شرکت آزمایشگاه فنی و مکانیک خاک حقوقی,https://tsml.ir/sso/legal,شرکت آزمایشگاه فنی و مکانیک خاک
شرکت آزمایشگاه فنی و مکانیک خاک حقیقی,https://tsml.ir/sso/person,شرکت آزمایشگاه فنی و مکانیک خاک
شرکت شهر فرودگاهی امام خمینی حقوقی,https://sso.ikac.ir/auth/realms/sso/broker/oidc-legal/endpoint,شرکت شهر فرودگاهی امام خمینی (ره)
شرکت شهر فرودگاهی امام خمینی حقیقی,https://sso.ikac.ir/auth/realms/sso/broker/oidc/endpoint,شرکت شهر فرودگاهی امام خمینی (ره)
شهرداری احمدآباد مستوفی,https://eservice.ahmadabadmostofi.ir,شهرداری احمدآباد مستوفی
شهرداری اراک,https://my.arak.ir/api/v1/oauth2/moi/redirect,شهرداری اراک
شهرداری اردبیل,https://ardabilman.ir/login,شهرداری اردبیل
شهرداری ارومیه,https://esup.urmia.ir/Citizen,شهرداری ارومیه
شهرداری اصفهان,https://my.isfahan.ir/?aut=1,شهرداری اصفهان
شهرداری اندیشه,https://my.andishehcity.ir/,شهرداری اندیشه
شهرداری آمل,https://api.myamol.ir/api/WebApi/LoginToGOV,شهرداری آمل
شهرداری بابل,https://sso.babol.ir/execute/login/ssogov,شهرداری بابل
شهرداری بجنورد حقوقی,https://sso.bojnord.ir/auth/realms/sso/broker/oidc-legal/endpoint,شهرداری بجنورد
شهرداری بجنورد حقیقی,https://sso.bojnord.ir/auth/realms/sso/broker/oidc/endpoint,شهرداری بجنورد
شهرداری بروجرد,https://sso.borujerd.ir/execute/login/myiran,شهرداری بروجرد
شهرداری بوشهر,https://esup.bushehr.ir/citizen,شهرداری بوشهر
شهرداری بیرجند,https://birjand.ir/loginpanel,شهرداری بیرجند
شهرداری تهران,https://shahrzadpwa.tehran.ir/api/v2/account/sso-page,شهرداری تهران
شهرداری خرم آباد,https://esup.khorramabad.ir/citizen,شهرداری خرم‌آباد
شهرداری درچه,https://my.dorcheh.ir/execute/login/myiran,شهرداری درچه
شهرداری دلیجان,https://my.delijan.ir,شهرداری دلیجان
شهرداری رباط کریم,https://my.robatkarim.ir/,شهرداری رباط‌کریم
شهرداری رشت,https://my.rasht.ir/home/sso/redirectlogin,شهرداری رشت
شهرداری زاهدان,https://sso.zahedan.ir/account/keshvarsso,شهرداری زاهدان
شهرداری ساری,https://my.e-saricity.ir/sso/dolat,شهرداری ساری
شهرداری سمنان,https://my.semnan.ir/User/GOV/Index,شهرداری سمنان
شهرداری قم,https://account.qom.ir/sso/myiran/login,شهرداری قم
شهرداری کرج,https://my.karaj.ir/fa/page/54466.html?utype=1,شهرداری کرج
شهرداری کرج حقوقی,https://my.karaj.ir/fa/page/54466.html?utype=2,شهرداری کرج
شهرداری کرمان,https://account.kerman.ir/sso/myiran/login,شهرداری کرمان
شهرداری کرمانشاه,https://my.kermanshah.ir/api/v1/oauth2/moi/redirect,شهرداری کرمانشاه
شهرداری گرمدره,https://mygarmdareh.ir/,شهرداری گرمدره
شهرداری محلات,https://sso.mahallat.ir/execute/login/myiran,شهرداری محلات
شهرداری همدان,https://esup.hamedan.ir/citizen/,شهرداری همدان
شهرداری بجنورد,https://esup.bojnord.ir/security/v2/auth/login-by-sso-keshvar,شهرداری بجنورد
شهرداری مشهد,https://sm.mashhad.ir/?gsb=true,شهرداری مشهد
شهرداری تهران,https://my.tehran.ir/shahrzad,شهرداری تهران
صندوق تامین خسارت‌های بدنی,https://eservice.biif.ir/contents/Return,صندوق تامین خسارت‌های بدنی
صندوق توسعه صنایع دریایی حقوقی,https://imf.ir/fa/page/54466.html?utype=2,صندوق توسعه صنایع دریایی
صندوق توسعه صنایع دریایی حقیقی,https://imf.ir/fa/page/54466.html?utype=1,صندوق توسعه صنایع دریایی
صندوق رفاه دانشجویان وزارت بهداشت,https://my.srd.ir,صندوق رفاه دانشجویان وزارت بهداشت
صندوق نوآوری و شکوفایی,https://www.inif.ir/,صندوق نوآوری و شکوفایی
وزارت تعاون کار و رفاه اجتماعی حقوقی,https://smkh.mcls.gov.ir/ho-redirecturl,وزارت تعاون، کار و رفاه اجتماعی
وزارت تعاون کار و رفاه اجتماعی حقیقی,https://smkh.mcls.gov.ir/redirecturl,وزارت تعاون، کار و رفاه اجتماعی
سازمان اسناد و کتابخانه ملی ایران,https://bookshop.nlai.ir,سازمان اسناد و کتابخانه ملی ایران
کانون انجمن‌های صنفی کارفرمایی خدماتی,https://kanonask.com/,کانون انجمن‌های صنفی کارفرمایی خدماتی
کمیته امداد امام خمینی,https://soha.emdad.ir/mis/emdad/r/900/my-gov-login,کمیته امداد امام خمینی (ره)
شرکت مخابرات ایران,https://my.tci.ir/api/v1/oauth/gov/callback,شرکت مخابرات ایران
شرکت ملی گاز ایران,https://inspect.nigc.ir,شرکت ملی گاز ایران
جهاد دانشگاهی,https://hrtc.ir/,جهاد دانشگاهی
هما (شرکت هواپیمایی) حقوقی,https://homatraining.iranair.com/IdeaPortal/ISSO/2,شرکت هواپیمایی جمهوری اسلامی ایران (هما)
هما (شرکت هواپیمایی) حقیقی,https://homatraining.iranair.com/IdeaPortal/ISSO/1,شرکت هواپیمایی جمهوری اسلامی ایران (هما)
مرکز تحقیقات سیاست علمی کشور,https://my.nrisp.ac.ir/eservicesgov/,مرکز تحقیقات سیاست علمی کشور
مرکز صدور گواهی الکترونیکی میانی عام,https://gica.ir/TotalCA/indexgov.aspx,مرکز صدور گواهی الکترونیکی میانی عام
مرکز مدیریت حوزه‌های علمیه خواهران,https://ehraz.whc.ir/sso/myiran/validate,مرکز مدیریت حوزه‌های علمیه خواهران
سازمان فناوری اطلاعات ایران,https://eservices.ito.gov.ir/Members/MyGovLoginRedirect,سازمان فناوری اطلاعات ایران
سازمان فناوری اطلاعات ایران حقوقی,https://eservices.ito.gov.ir/members/MyGovCMPLogin,سازمان فناوری اطلاعات ایران
سازمان تعزیرات حکومتی,https://desk.tazirat135.ir/dashboard,سازمان تعزیرات حکومتی
سازمان تعزیرات حکومتی حقوقی,https://desk.tazirat135.ir/dashboardLegal,سازمان تعزیرات حکومتی
شرکت راه‌آهن جمهوری اسلامی ایران,https://rtakrim.rai.ir/sso,شرکت راه‌آهن جمهوری اسلامی ایران
شهرداری آبادان,http://my.abadan.ir,شهرداری آبادان
شهرداری سنندج,https://sanandaj.ir/servdesk,شهرداری سنندج
سازمان امور عشایر ایران,https://ashayer.ir/sso,سازمان امور عشایر ایران
وزارت کشور,https://old.moi.ir/mizkhedmat/ssomoi_redirect,وزارت کشور
شرکت بازآفرینی شهری ایران,https://facility.udrc.ir/login/request/myiran,شرکت بازآفرینی شهری ایران
نهاد کتابخانه‌های عمومی کشور,https://sso.iranpl.ir,نهاد کتابخانه‌های عمومی کشور
وزارت امور خارجه,https://mikhak.mfa.gov.ir/form/landing.xhtml,وزارت امور خارجه
صندوق رفاه دانشجویان وزارت علوم,https://students.srd.ir,صندوق رفاه دانشجویان وزارت بهداشت
دانشگاه اصفهان,https://ui.ac.ir,دانشگاه اصفهان
دانشگاه الزهرا,https://alzahra.ac.ir,دانشگاه الزهرا
دانشگاه پیام نور,https://pnu.ac.ir,دانشگاه پیام نور
دانشگاه تهران,https://ut.ac.ir,دانشگاه تهران
دانشگاه جامع امام حسین,https://ihu.ac.ir,دانشگاه جامع امام حسین
دانشگاه جامع علمی کاربردی,https://uast.ac.ir,دانشگاه جامع علمی کاربردی
دانشگاه شهید بهشتی,https://sbu.ac.ir,دانشگاه شهید بهشتی
دانشگاه شیراز,https://shirazu.ac.ir,دانشگاه شیراز
دانشگاه صداوسیما,https://iribu.ac.ir,دانشگاه صداوسیما
دانشگاه صنعتی جندی شاپور,https://jsu.ac.ir,دانشگاه صنعتی جندی شاپور
دانشگاه صنعتی اصفهان,https://iut.ac.ir,دانشگاه صنعتی اصفهان
دانشگاه صنعتی امیرکبیر,https://aut.ac.ir,دانشگاه صنعتی امیرکبیر
دانشگاه صنعتی خواجه نصیرالدین طوسی,https://kntu.ac.ir,دانشگاه صنعتی خواجه نصیرالدین طوسی
دانشگاه صنعتی شریف,https://sharif.ir,دانشگاه صنعتی شریف
دانشگاه علامه طباطبائی,https://atu.ac.ir,دانشگاه علامه طباطبائی
دانشگاه علم و صنعت ایران,https://iust.ac.ir,دانشگاه علم و صنعت ایران
دانشگاه فردوسی مشهد,https://um.ac.ir,دانشگاه فردوسی مشهد
دانشگاه فرهنگیان,https://cfu.ac.ir,دانشگاه فرهنگیان
دانشگاه شهید مطهری,https://motahari.ac.ir,دانشگاه شهید مطهری
دانشگاه فرماندهی و ستاد آجا,https://casu.ac.ir,دانشگاه فرماندهی و ستاد آجا
موسسه عالی آموزش و پژوهش مدیریت و برنامه ریزی,https://imps.ac.ir,موسسه عالی آموزش و پژوهش مدیریت و برنامه ریزی
دانشگاه تربیت دبیر شهید رجایی,https://srttu.edu,دانشگاه تربیت دبیر شهید رجایی
دانشگاه جامع انقلاب اسلامی,https://edu.cuir.ac.ir,دانشگاه جامع انقلاب اسلامی
دانشگاه اردکان,https://my.ardakan.ac.ir,دانشگاه اردکان
دانشگاه بزرگمهر قائنات,https://puya.buqaen.ac.ir,دانشگاه بزرگمهر قائنات
دانشگاه رازی کرمانشاه,https://sso.razi.ac.ir,دانشگاه رازی کرمانشاه
دانشگاه شهرکرد,https://sess.sku.ac.ir,دانشگاه شهرکرد
دانشگاه بیرجند,https://khedmat.birjand.ac.ir,دانشگاه بیرجند
دانشگاه هنر تهران,https://edu.art.ac.ir,دانشگاه هنر تهران
دانشگاه شهید باهنر کرمان,https://elearn.uk.ac.ir,دانشگاه شهید باهنر کرمان
دانشگاه صنعتی سیرجان,https://pooya.sirjantech.ac.ir,دانشگاه صنعتی سیرجان
موسسه آموزشی و پژوهشی امام خمینی,https://golestan.ikiu.ac.ir,موسسه آموزشی و پژوهشی امام خمینی
دانشگاه اراک,https://golestan.araku.ac.ir,دانشگاه اراک
دانشگاه سیدجمال الدین اسدآبادی,https://sso.sjau.ac.ir,دانشگاه سیدجمال الدین اسدآبادی
دانشگاه هنر اصفهان,https://edu.aui.ac.ir,دانشگاه هنر اصفهان
دانشگاه صنعتی نوشیروانی بابل,https://golestan.nit.ac.ir,دانشگاه صنعتی نوشیروانی بابل
دانشگاه صنعتی ارومیه,https://edu.uut.ac.ir,دانشگاه صنعتی ارومیه
دانشگاه صنعتی خاتم الانبیا بهبهان,https://golestan.bkatu.ac.ir,دانشگاه صنعتی خاتم الانبیا بهبهان
دانشگاه فسا,https://pershiess.fasau.ac.ir,دانشگاه فسا
دانشگاه گیلان,https://sada.guilan.ac.ir,دانشگاه گیلان
دانشگاه صنعتی شیراز,https://sutech.ac.ir,دانشگاه صنعتی شیراز
دانشگاه هنر شیراز,https://shirazartu.ac.ir,دانشگاه هنر شیراز
دانشگاه صنعتی شاهرود,https://shahroodut.ac.ir,دانشگاه صنعتی شاهرود
دانشگاه علوم پزشکی سراب,https://sarabums.ac.ir,دانشگاه علوم پزشکی سراب
دانشگاه علوم پزشکی مراغه,https://mrgums.ac.ir,دانشگاه علوم پزشکی مراغه
دانشگاه علوم پزشکی تبریز,https://tbzmed.ac.ir,دانشگاه علوم پزشکی تبریز
دانشگاه علوم پزشکی خوی,https://khoyums.ac.ir,دانشگاه علوم پزشکی خوی
دانشگاه علوم پزشکی ارومیه,https://umsu.ac.ir,دانشگاه علوم پزشکی ارومیه
دانشگاه علوم پزشکی خلخال,https://khalums.ac.ir,دانشگاه علوم پزشکی خلخال
دانشگاه علوم پزشکی اردبیل,https://arums.ac.ir,دانشگاه علوم پزشکی اردبیل
دانشگاه علوم پزشکی کاشان,https://kaums.ac.ir,دانشگاه علوم پزشکی کاشان
دانشگاه علوم پزشکی اصفهان,https://mui.ac.ir,دانشگاه علوم پزشکی اصفهان
دانشگاه علوم پزشکی ایلام,https://medilam.ac.ir,دانشگاه علوم پزشکی ایلام
دانشگاه علوم پزشکی بوشهر,https://bpums.ac.ir,دانشگاه علوم پزشکی بوشهر
دانشگاه علوم پزشکی هوشمند,https://smums.ac.ir,دانشگاه علوم پزشکی هوشمند
دانشگاه علوم توانبخشی و سلامت اجتماعی,https://uswr.ac.ir,دانشگاه علوم توانبخشی و سلامت اجتماعی
دانشگاه علوم پزشکی شهید بهشتی,https://sbmu.ac.ir,دانشگاه علوم پزشکی شهید بهشتی
دانشگاه علوم پزشکی ایران,https://iums.ac.ir,دانشگاه علوم پزشکی ایران
دانشگاه علوم پزشکی تهران,https://tums.ac.ir,دانشگاه علوم پزشکی تهران
دانشگاه علوم پزشکی شهرکرد,https://skums.ac.ir,دانشگاه علوم پزشکی شهرکرد
دانشگاه علوم پزشکی بیرجند,https://bums.ac.ir,دانشگاه علوم پزشکی بیرجند
دانشگاه علوم پزشکی تربت جام,https://trjums.ac.ir,دانشگاه علوم پزشکی تربت جام
دانشگاه علوم پزشکی نیشابور,https://nums.ac.ir,دانشگاه علوم پزشکی نیشابور
دانشگاه علوم پزشکی گناباد,https://gmu.ac.ir,دانشگاه علوم پزشکی گناباد
دانشگاه علوم پزشکی سبزوار,https://medsab.ac.ir,دانشگاه علوم پزشکی سبزوار
دانشگاه علوم پزشکی تربت حیدریه,https://thums.ac.ir,دانشگاه علوم پزشکی تربت حیدریه
دانشگاه علوم پزشکی مشهد,https://mums.ac.ir,دانشگاه علوم پزشکی مشهد
دانشگاه علوم پزشکی بجنورد,https://nkums.ac.ir,دانشگاه علوم پزشکی بجنورد
دانشگاه علوم پزشکی اسفراین,https://esfrums.ac.ir,دانشگاه علوم پزشکی اسفراین
دانشگاه علوم پزشکی شوشتر,https://shoushtarums.ac.ir,دانشگاه علوم پزشکی شوشتر
دانشگاه علوم پزشکی بهبهان,https://behums.ac.ir,دانشگاه علوم پزشکی بهبهان
دانشگاه علوم پزشکی آبادان,https://abadanums.ac.ir,دانشگاه علوم پزشکی آبادان
دانشگاه علوم پزشکی دزفول,https://dums.ac.ir,دانشگاه علوم پزشکی دزفول
دانشگاه علوم پزشکی جندی شاپور اهواز,https://ajums.ac.ir,دانشگاه علوم پزشکی جندی شاپور اهواز
دانشگاه علوم پزشکی زنجان,https://zums.ac.ir,دانشگاه علوم پزشکی زنجان
دانشگاه علوم پزشکی شاهرود,https://shmu.ac.ir,دانشگاه علوم پزشکی شاهرود
دانشگاه علوم پزشکی سمنان,https://semums.ac.ir,دانشگاه علوم پزشکی سمنان
دانشگاه علوم پزشکی زابل,https://zbmu.ac.ir,دانشگاه علوم پزشکی زابل
دانشگاه علوم پزشکی ایرانشهر,https://irshums.ac.ir,دانشگاه علوم پزشکی ایرانشهر
دانشگاه علوم پزشکی زاهدان,https://zaums.ac.ir,دانشگاه علوم پزشکی زاهدان
دانشگاه علوم پزشکی گراش,https://gerums.ac.ir,دانشگاه علوم پزشکی گراش
دانشگاه علوم پزشکی لارستان,https://larums.ac.ir,دانشگاه علوم پزشکی لارستان
دانشگاه علوم پزشکی جهرم,https://jums.ac.ir,دانشگاه علوم پزشکی جهرم
دانشگاه علوم پزشکی فسا,https://fums.ac.ir,دانشگاه علوم پزشکی فسا
دانشگاه علوم پزشکی شیراز,https://sums.ac.ir,دانشگاه علوم پزشکی شیراز
دانشگاه علوم پزشکی قزوین,https://qums.ac.ir,دانشگاه علوم پزشکی قزوین
دانشگاه علوم پزشکی قم,https://muq.ac.ir,دانشگاه علوم پزشکی قم
دانشگاه علوم پزشکی کردستان,https://muk.ac.ir,دانشگاه علوم پزشکی کردستان
دانشگاه علوم پزشکی رفسنجان,https://rums.ac.ir,دانشگاه علوم پزشکی رفسنجان
دانشگاه علوم پزشکی کرمان,https://kmu.ac.ir,دانشگاه علوم پزشکی کرمان
دانشگاه علوم پزشکی جیرفت,https://jmu.ac.ir,دانشگاه علوم پزشکی جیرفت
دانشگاه علوم پزشکی بم,https://mubam.ac.ir,دانشگاه علوم پزشکی بم
دانشگاه علوم پزشکی سیرجان,https://sirums.ac.ir,دانشگاه علوم پزشکی سیرجان
دانشگاه علوم پزشکی کرمانشاه,https://kums.ac.ir,دانشگاه علوم پزشکی کرمانشاه
دانشگاه علوم پزشکی یاسوج,https://yums.ac.ir,دانشگاه علوم پزشکی یاسوج
دانشگاه علوم پزشکی گلستان,https://goums.ac.ir,دانشگاه علوم پزشکی گلستان
دانشگاه علوم پزشکی گیلان,https://gums.ac.ir,دانشگاه علوم پزشکی گیلان
دانشگاه علوم پزشکی لرستان,https://lums.ac.ir,دانشگاه علوم پزشکی لرستان
دانشگاه علوم پزشکی بابل,https://mubabol.ac.ir,دانشگاه علوم پزشکی بابل
دانشگاه علوم پزشکی مازندران,https://mazums.ac.ir,دانشگاه علوم پزشکی مازندران
دانشگاه علوم پزشکی خمین,https://khomeinums.ac.ir,دانشگاه علوم پزشکی خمین
دانشگاه علوم پزشکی ساوه,https://savehums.ac.ir,دانشگاه علوم پزشکی ساوه
دانشگاه علوم پزشکی اراک,https://arakmu.ac.ir,دانشگاه علوم پزشکی کرمان
دانشگاه علوم پزشکی بندرعباس,https://hums.ac.ir,دانشگاه علوم پزشکی بندرعباس
دانشگاه علوم پزشکی اسدآباد,https://asaums.ac.ir,دانشگاه علوم پزشکی اسدآباد
دانشگاه علوم پزشکی همدان,https://umsha.ac.ir,دانشگاه علوم پزشکی همدان
دانشگاه علوم پزشکی یزد,https://ssu.ac.ir,دانشگاه علوم پزشکی یزد
بانک ملی ایران,https://bmi.ir,بانک ملی ایران
پست بانک,https://postbank.ir,پست بانک ایران
بانک سپه,https://banksepah.ir,بانک سپه
بانک کشاورزی,https://bki.ir,بانک کشاورزی
بانک مسکن,https://bank-maskan.ir,بانک مسکن
بانک مرکزی جمهوری اسلامی ایران,https://cbi.ir,بانک مرکزی جمهوری اسلامی ایران
بانک ملت,https://bankmellat.ir,بانک ملت
بانک صادرات,https://bsi.ir,بانک صادرات ایران
بانک رفاه,https://refah-bank.ir,بانک رفاه کارگران
بانک ملی ایران,https://baam.bmi.ir,بانک ملی ایران
بانک ملت,https://mobile.bankmellat.ir,بانک ملت
بانک سپه,https://banksepah.ir,بانک سپه
بانک کشاورزی,https://bki.ir,بانک کشاورزی
بانک صادرات,https://apps.bsi.ir,بانک صادرات ایران
بانک ملت (سکه),https://sekeh.behpardakht.ir,بانک ملت
بانک تجارت,https://tejaratbank.ir,بانک تجارت
بنیاد شهید و امور ایثارگران,https://isaar.ir,بنیاد شهید و امور ایثارگران
بنیاد مسکن انقلاب اسلامی,https://bonyadmaskan.ir,بنیاد مسکن انقلاب اسلامی
بنیاد ملی نخبگان,https://bmn.ir,بنیاد ملی نخبگان
سازمان اداری و استخدامی کشور,https://aro.gov.ir,سازمان اداری و استخدامی کشور
مرکز آموزش مدیریت دولتی,https://smtc.ac.ir,مرکز آموزش مدیریت دولتی
سازمان ملی بهره وری ایران,https://npo.gov.ir,سازمان ملی بهره‌وری ایران
جهاد دانشگاهی,https://acecr.ac.ir,جهاد دانشگاهی
سازمان ملی استاندارد ایران,https://inso.gov.ir,سازمان ملی استاندارد ایران
سازمان حفاظت محیط‌زیست,https://doe.ir,سازمان حفاظت محیط زیست
سازمان اسناد و کتابخانه ملی ایران,https://nlai.ir,سازمان اسناد و کتابخانه ملی ایران
سازمان انرژی اتمی ایران,https://nrpdsys.nrpd.ir,سازمان انرژی اتمی ایران
سازمان برنامه و بودجه کشور,https://mporg.ir,سازمان برنامه و بودجه کشور
سازمان نقشه برداری کشور,https://ncc.gov.ir,سازمان نقشه‌برداری کشور
سازمان هدفمندسازی یارانه‌ها,https://hadafmandi.ir,سازمان هدفمندسازی یارانه‌ها
مرکز آمار ایران,https://amar.org.ir,مرکز آمار ایران
سازمان تبلیغات اسلامی,https://nehzat.ir,سازمان تبلیغات اسلامی
فراجا,https://vazifeh.police.ir/,فراجا
روزنامه رسمی جمهوری اسلامی ایران,https://rrk.ir,روزنامه رسمی جمهوری اسلامی ایران
سازمان ثبت اسناد و املاک کشور,https://ssaa.ir,سازمان ثبت اسناد و املاک کشور
سازمان بازرسی کل کشور,https://bazresi.ir,سازمان بازرسی کل کشور
قوه قضاییه,https://eadl.ir,قوه قضاییه
وزارت دادگستری,https://moj.gov.ir,وزارت دادگستری
سازمان تعزیرات حکومتی,https://tazirat.gov.ir,سازمان تعزیرات حکومتی
سازمان هواپیمایی کشوری,https://caa.gov.ir,سازمان هواپیمایی کشوری
سازمان بنادر و دریانوردی,https://pmo.ir,سازمان بنادر و دریانوردی
